default,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6
-12,-0.246500,-0.274910,-0.294864,-0.316836,-0.364539,-0.399209,-0.406386,-0.416500,-0.433500,-0.442000,-0.450500,-0.459000,-0.467500
-10,-0.170000,-0.208361,-0.226762,-0.262714,-0.303892,-0.329364,-0.343527,-0.357000,-0.365500,-0.374000,-0.382500,-0.391000,-0.399500
-8,-0.100000,-0.158674,-0.202070,-0.231765,-0.277900,-0.302984,-0.318817,-0.320000,-0.330000,-0.340000,-0.350000,-0.360000,-0.370000
-6,-0.040476,-0.080657,-0.120839,-0.155962,-0.188891,-0.210790,-0.232234,-0.240000,-0.250000,-0.260000,-0.270000,-0.280000,-0.290000
-4,0.010000,-0.014286,-0.040000,-0.068050,-0.097189,-0.118951,-0.136129,-0.140000,-0.153044,-0.168832,-0.180000,-0.200000,-0.220000
-2,0.072000,0.060000,0.036000,0.012000,-0.007310,-0.042552,-0.063834,-0.073172,-0.090915,-0.109982,-0.120000,-0.144000,-0.168000
0,0.132000,0.108000,0.084000,0.060000,0.036000,0.012000,-0.000493,-0.012000,-0.036000,-0.060000,-0.084000,-0.108000,-0.132000
2,0.180000,0.156000,0.132000,0.108000,0.093756,0.072283,0.052636,0.027778,0.004535,-0.016686,-0.038981,-0.061275,-0.083570
4,0.240000,0.220000,0.200000,0.183980,0.164975,0.145588,0.127484,0.102063,0.086196,0.069715,0.045413,0.013089,-0.019236
6,0.330000,0.310000,0.290000,0.274963,0.244730,0.233735,0.212614,0.176770,0.157876,0.144058,0.113633,0.082744,0.051856
8,0.430000,0.410000,0.390000,0.371492,0.329958,0.315640,0.299785,0.250050,0.233967,0.215313,0.181513,0.156071,0.130630
10,0.425000,0.416500,0.408000,0.393504,0.357880,0.338047,0.328528,0.276331,0.265402,0.245235,0.210309,0.180532,0.150754
12,0.476000,0.459000,0.450500,0.437838,0.428916,0.416263,0.398459,0.343145,0.324077,0.297235,0.276103,0.236601,0.197099
